chroma_stft_mean,spectral_centroid_mean,spectral_bandwidth_mean,rolloff_mean,zcr_mean,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,label_int,label_str,binary_label,tonnetz_1_mean,tonnetz_2_mean,tonnetz_3_mean,tonnetz_4_mean,tonnetz_5_mean,tonnetz_6_mean,chroma_cqt_mean,chroma_cqt_std
0.23854533,1611.7568827882444,978.3444525532382,2456.1822444669724,0.1189879286162074,-248.31964,116.406296,-99.24054,-20.529633,2.8603623,-28.520775,-13.584485,-6.810005,-15.821596,-4.0860744,-7.8594484,-6.799863,12.9919615,8,G#/Ab major,major,-0.05411099446269144,0.0865133562050587,0.1537535538336568,0.11990847119226178,-0.01225421973525273,0.05028798621659796,0.3162136375904083,0.29036638140678406
0.32295382,1716.035057759566,2167.235317643083,3670.2826468124135,0.0704094084877255,-190.71494,104.25016,-5.4697137,25.330606,4.9684076,14.168666,-0.47473714,7.8982344,-5.801807,-1.0462874,-13.177423,-1.1201434,-3.3746219,0,C major,major,0.14839231370101214,-0.004051703696054403,0.009684836306023693,0.17656351809070797,-0.03022015346333307,0.0016466103141354305,0.3787134289741516,0.28471946716308594
0.31978735,2343.523060348072,2653.925912171088,5262.220844062599,0.0876718985067831,-56.392296,88.80841,13.444851,21.053772,4.3655596,5.87921,6.050539,2.206812,-2.7845104,3.8947697,-5.7337537,3.151621,-5.4095554,4,E major,major,0.15372145736196602,-0.1317593998894162,0.09252030227528726,0.15037462345610683,0.010197840571216962,0.003419758333779593,0.2668614387512207,0.2801769971847534
0.2382598,1326.6605112859536,1854.3576463487875,2618.964749605207,0.0468012019685163,-219.0107,119.28885,4.46517,28.53214,8.302598,3.8091862,-3.273563,-10.001308,-9.540641,-4.3500233,-12.066653,-9.044078,-11.605086,16,E minor,minor,0.31603165619539164,0.10153071706330649,0.30250718585732617,0.21286689756656912,0.0551856613674231,-0.04921027320602945,0.230703666806221,0.30006587505340576
0.3457281,1550.5473008186682,1978.717093974392,3186.728625207953,0.0634249565745694,-112.84463,142.5597,6.989205,14.380627,13.022738,0.7525691,-2.109983,4.2822614,-7.1669645,-0.40582728,-0.46409523,-0.25444677,-5.3237123,16,E minor,minor,0.35868089394607416,-0.05269056917933332,0.16320745454895316,0.11377213457417683,0.0746197202895033,-0.09028780140253362,0.32333996891975403,0.30852949619293213
0.34487954,1719.425733489276,2022.6406672309224,3438.3748836734994,0.0823062659987103,-140.5222,121.584496,-8.3418865,20.339079,-0.29105195,3.082803,-2.2915456,3.9150395,-3.731125,-0.15958226,-4.660139,-0.049468894,-2.3677428,3,D#/Eb major,major,0.18536117383260695,-0.10202211919000387,-0.06004000083476779,-0.1358093106678187,-0.013950630645964442,0.0282782088855356,0.42689356207847595,0.2603825032711029
0.24945211,446.6436375066771,933.657451616798,595.7755971310744,0.0199838609837774,-432.6727,99.28417,68.87453,49.067715,30.873112,17.667425,11.9735775,4.606063,-3.30035,-3.066396,-2.4246416,-1.8310552,-7.4522457,9,A major,major,0.3973516471377276,-0.31618804303504766,-0.4182602838683245,-0.30630625090585617,0.0065498600133650385,0.29560969223864675,0.19915074110031128,0.320087194442749
0.4080776,2061.773379385787,1837.145565199615,3810.248342868501,0.1369054306422513,-151.10796,103.78475,-45.030872,52.626408,-7.517541,-2.055707,1.3916147,-5.9020314,-19.611338,-0.9498568,-5.0056987,-6.397894,-3.101338,9,A major,major,-0.04125691474411179,0.01769548383058543,0.047032794758622015,-0.011924613586271582,-0.00033152732208645443,-0.008973717103870503,0.5355978012084961,0.24898982048034668
0.32320806,2019.873419856605,1802.8462191848544,3742.181019840192,0.1215104352862721,-140.60059,106.71577,-40.77378,32.849483,-7.7530894,-4.299412,-11.586947,-2.5930505,-18.164755,-3.3180916,-9.573703,-7.756106,-10.543551,7,G major,major,-0.10948185643299278,-0.11848175427480549,-0.04402828162982239,-0.05829703732685105,0.03849125284461269,-0.003288571761394423,0.409295916557312,0.2774966359138489
0.3015105,2086.811923401948,2501.1179915497414,4662.027404245022,0.0700751866703539,-98.00466,93.092735,12.3621645,19.5628,0.9808083,7.412054,-2.1766214,0.5936426,-2.3649945,-1.7115797,-1.8952949,-0.2636559,-3.6309521,16,E minor,minor,0.011718665768841396,-0.0966516792810932,0.0615214335791828,-0.04589287065723597,-0.0176879713566396,0.00630803877585494,0.446817547082901,0.26608017086982727
0.31389984,1853.678383072761,2120.930697727472,3720.327395323377,0.085187654182284,-70.41331,113.86419,-11.777617,21.685251,7.001416,6.809536,0.05311983,-3.6552842,-1.0529717,-2.6734254,-0.6161218,2.7531369,-4.1839767,3,D#/Eb major,major,-0.1747154364652532,0.26128404157115515,0.12501554325168487,-0.018284631272805957,9.542808565392561e-05,0.034449682692759845,0.2754785716533661,0.29407942295074463
0.24812502,1483.3945728136075,1855.2813628376136,2962.354036789231,0.0549923397130453,-242.28165,127.8293,7.0253944,29.9321,-1.4848804,-1.9730282,-4.6603603,0.799756,-8.365599,-9.073985,-10.875799,-6.725487,-6.9352126,7,G major,major,0.2751075107012429,0.03514878489687689,0.10041390435282438,-0.12385228736812094,-0.04451857502633867,-0.05986527779408512,0.33698663115501404,0.2983720600605011
0.45073152,2626.026855173349,2716.2990371767164,5724.56269016375,0.0978686359503233,-89.71565,73.59316,14.089137,13.729894,3.874882,9.230385,2.0299368,12.44733,2.3580391,3.8335583,1.2208768,1.0423286,-1.206218,17,F minor,minor,-0.02666757801738469,0.009845600456270205,-0.023704192405713857,-0.0013565086390389623,0.013183075207629453,0.003522229765281595,0.609119176864624,0.24927343428134918
0.29577833,1494.9829553959505,1750.5845325933717,2954.659429269595,0.0629697802516716,-109.569374,138.9874,-3.0031464,18.606775,-3.9923012,3.1924512,-2.15956,2.5030463,-0.30841625,1.0592963,-6.0679107,-5.331272,-12.3794365,15,D#/Eb minor,minor,-0.3496682383315417,-0.09601767230603414,-0.016952150096613598,-0.07229642844140642,0.10094705634925238,-0.0005056148387591313,0.27594566345214844,0.2877235412597656
0.28697202,987.014862102116,1432.1755580410431,1842.8266485717704,0.0435048286299738,-387.09067,153.09387,31.324497,10.591893,11.547574,20.485714,13.588335,6.13132,-13.995487,-9.996425,-9.353126,5.563558,13.326479,0,C major,major,0.11493334898582369,-0.14999739311569404,0.05141580069265534,0.06797474246814118,-0.0276249037957964,-0.05589588246168936,0.32837411761283875,0.30843138694763184
0.419538,1872.666046912996,1919.9323072622487,3666.5466327847744,0.0989360243740141,28.744337,122.06138,-32.80459,22.668493,-11.5971575,1.4961646,-8.33768,1.7157707,-3.0661318,-4.853428,-9.254929,0.281555,-5.0572715,18,F#Gb minor,minor,-0.0015424099404176166,-0.019026077291071128,-0.01926360388278647,-0.029621203287315333,0.014020188999144905,0.003248351828014459,0.5561408996582031,0.2475450187921524
0.4804963,2550.8611855092827,2722.20979341468,5868.764230794614,0.0758759801717595,-102.23114,69.38896,15.608616,28.467665,10.632851,15.251745,2.1564493,8.069458,0.37963107,3.92493,2.9673314,0.9275008,-0.43751863,21,A minor,minor,0.0627879178277235,0.011093398667349728,-0.028249854121630672,0.004716824715958192,-0.0005773579294342019,0.05031271645528617,0.3047053813934326,0.26414331793785095
0.47076455,2422.1591777174585,2549.128532481509,5301.736826559326,0.0860336624641491,-81.49715,77.67624,-6.9441657,20.783043,2.8651233,12.794046,1.6826601,5.374992,2.775633,4.428778,1.8379371,6.2890797,0.37377554,14,D minor,minor,0.008560462307300246,0.0035089762645462586,-0.02406464344687871,0.024945628911450426,-0.008855893642960454,0.008958815041836102,0.6627872586250305,0.20925912261009216
