chroma_stft_mean,spectral_centroid_mean,spectral_bandwidth_mean,rolloff_mean,zcr_mean,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,label_int,label_str,binary_label,tonnetz_1_mean,tonnetz_2_mean,tonnetz_3_mean,tonnetz_4_mean,tonnetz_5_mean,tonnetz_6_mean,chroma_cqt_mean,chroma_cqt_std
0.34487954,1719.425733489276,2022.6406672309224,3438.3748836734994,0.0823062659987103,-140.5222,121.584496,-8.3418865,20.339079,-0.29105195,3.082803,-2.2915456,3.9150395,-3.731125,-0.15958226,-4.660139,-0.049468894,-2.3677428,3,D#/Eb major,major,0.1853611738326069,-0.1020221191900038,-0.0600400008347677,-0.1358093106678187,-0.0139506306459644,0.0282782088855356,0.4268935620784759,0.2603825032711029
0.24945211,446.6436375066771,933.657451616798,595.7755971310744,0.0199838609837774,-432.6727,99.28417,68.87453,49.067715,30.873112,17.667425,11.9735775,4.606063,-3.30035,-3.066396,-2.4246416,-1.8310552,-7.4522457,9,A major,major,0.3973516471377276,-0.3161880430350476,-0.4182602838683245,-0.3063062509058561,0.006549860013365,0.2956096922386467,0.1991507411003112,0.320087194442749
0.4080776,2061.773379385787,1837.145565199615,3810.248342868501,0.1369054306422513,-151.10796,103.78475,-45.030872,52.626408,-7.517541,-2.055707,1.3916147,-5.9020314,-19.611338,-0.9498568,-5.0056987,-6.397894,-3.101338,9,A major,major,-0.0412569147441117,0.0176954838305854,0.047032794758622,-0.0119246135862715,-0.0003315273220864,-0.0089737171038705,0.5355978012084961,0.2489898204803466
0.32320806,2019.873419856605,1802.8462191848544,3742.181019840192,0.1215104352862721,-140.60059,106.71577,-40.77378,32.849483,-7.7530894,-4.299412,-11.586947,-2.5930505,-18.164755,-3.3180916,-9.573703,-7.756106,-10.543551,7,G major,major,-0.1094818564329927,-0.1184817542748054,-0.0440282816298223,-0.058297037326851,0.0384912528446126,-0.0032885717613944,0.409295916557312,0.2774966359138489
0.3015105,2086.811923401948,2501.1179915497414,4662.027404245022,0.0700751866703539,-98.00466,93.092735,12.3621645,19.5628,0.9808083,7.412054,-2.1766214,0.5936426,-2.3649945,-1.7115797,-1.8952949,-0.2636559,-3.6309521,16,E minor,minor,0.0117186657688413,-0.0966516792810932,0.0615214335791828,-0.0458928706572359,-0.0176879713566396,0.0063080387758549,0.446817547082901,0.2660801708698272
0.31389984,1853.678383072761,2120.930697727472,3720.327395323377,0.085187654182284,-70.41331,113.86419,-11.777617,21.685251,7.001416,6.809536,0.05311983,-3.6552842,-1.0529717,-2.6734254,-0.6161218,2.7531369,-4.1839767,3,D#/Eb major,major,-0.1747154364652532,0.2612840415711551,0.1250155432516848,-0.0182846312728059,9.54280856539256e-05,0.0344496826927598,0.2754785716533661,0.2940794229507446
0.24812502,1483.3945728136075,1855.2813628376136,2962.354036789231,0.0549923397130453,-242.28165,127.8293,7.0253944,29.9321,-1.4848804,-1.9730282,-4.6603603,0.799756,-8.365599,-9.073985,-10.875799,-6.725487,-6.9352126,7,G major,major,0.2751075107012429,0.0351487848968768,0.1004139043528243,-0.1238522873681209,-0.0445185750263386,-0.0598652777940851,0.336986631155014,0.2983720600605011
0.45073152,2626.026855173349,2716.2990371767164,5724.56269016375,0.0978686359503233,-89.71565,73.59316,14.089137,13.729894,3.874882,9.230385,2.0299368,12.44733,2.3580391,3.8335583,1.2208768,1.0423286,-1.206218,17,F minor,minor,-0.0266675780173846,0.0098456004562702,-0.0237041924057138,-0.0013565086390389,0.0131830752076294,0.0035222297652815,0.609119176864624,0.2492734342813491
0.29577833,1494.9829553959505,1750.5845325933717,2954.659429269595,0.0629697802516716,-109.569374,138.9874,-3.0031464,18.606775,-3.9923012,3.1924512,-2.15956,2.5030463,-0.30841625,1.0592963,-6.0679107,-5.331272,-12.3794365,15,D#/Eb minor,minor,-0.3496682383315417,-0.0960176723060341,-0.0169521500966135,-0.0722964284414064,0.1009470563492523,-0.0005056148387591,0.2759456634521484,0.2877235412597656
0.28697202,987.014862102116,1432.1755580410431,1842.8266485717704,0.0435048286299738,-387.09067,153.09387,31.324497,10.591893,11.547574,20.485714,13.588335,6.13132,-13.995487,-9.996425,-9.353126,5.563558,13.326479,0,C major,major,0.1149333489858236,-0.149997393115694,0.0514158006926553,0.0679747424681411,-0.0276249037957964,-0.0558958824616893,0.3283741176128387,0.3084313869476318
0.419538,1872.666046912996,1919.9323072622487,3666.5466327847744,0.0989360243740141,28.744337,122.06138,-32.80459,22.668493,-11.5971575,1.4961646,-8.33768,1.7157707,-3.0661318,-4.853428,-9.254929,0.281555,-5.0572715,18,F#Gb minor,minor,-0.0015424099404176,-0.0190260772910711,-0.0192636038827864,-0.0296212032873153,0.0140201889991449,0.0032483518280144,0.5561408996582031,0.2475450187921524
0.4804963,2550.8611855092827,2722.20979341468,5868.764230794614,0.0758759801717595,-102.23114,69.38896,15.608616,28.467665,10.632851,15.251745,2.1564493,8.069458,0.37963107,3.92493,2.9673314,0.9275008,-0.43751863,21,A minor,minor,0.0627879178277235,0.0110933986673497,-0.0282498541216306,0.0047168247159581,-0.0005773579294342,0.0503127164552861,0.3047053813934326,0.2641433179378509
0.47076455,2422.1591777174585,2549.128532481509,5301.736826559326,0.0860336624641491,-81.49715,77.67624,-6.9441657,20.783043,2.8651233,12.794046,1.6826601,5.374992,2.775633,4.428778,1.8379371,6.2890797,0.37377554,14,D minor,minor,0.0085604623073002,0.0035089762645462,-0.0240646434468787,0.0249456289114504,-0.0088558936429604,0.0089588150418361,0.6627872586250305,0.2092591226100921
0.2187863,1259.2229547038387,1598.3552863297984,2220.835812542302,0.0554461518595041,-310.03143,128.83327,-3.2166724,5.705982,2.5134714,-1.1352037,-12.082545,-8.578658,-16.214134,-8.084705,-6.5582542,-6.1075835,-8.954281,17,F minor,minor,-0.2002094354109906,0.2088356688893968,-0.1058113455790559,0.1473470764907427,-0.0221386218283895,0.0522502904918698,0.25098916888237,0.2813027501106262
0.26937577,1308.9553940120734,1560.6770040256831,2411.61222308407,0.0624402085068083,-245.87686,136.23512,-14.189418,14.166975,-0.07620464,0.94448125,-5.680619,-6.116113,-16.313675,-5.94831,-5.749375,-7.3034315,-6.206026,17,F minor,minor,-0.1919150032231088,0.090786778891491,-0.0509496527147189,0.0430984650760155,0.0217413160113523,0.0046588866716335,0.3156180381774902,0.2864583432674408
0.3986922,2423.3613104667834,2582.601591751619,5224.054075337129,0.0939118300177876,9.007414,81.64391,-0.9659614,24.246607,0.68732476,3.2912033,5.505746,3.6254766,-3.458399,4.9904175,-0.4718483,3.274543,-0.63384366,0,C major,major,0.0728726335457364,0.0882593041912364,0.0991878483959835,0.0399005617617785,0.0275955396794925,0.0157103877230967,0.3973007500171661,0.2383394986391067
0.45351994,2582.3864650081773,2692.0108657297988,5589.834105675401,0.0921500917106448,22.258636,75.66027,2.75101,30.995579,6.281104,8.757026,5.14529,4.9471083,-1.5768156,4.9657454,-1.6185184,4.7393475,-1.2234104,9,A major,major,0.112723046927589,-0.0602051442944585,-0.0635785701924188,0.0688331191053573,-0.0587916926838579,-0.0612768672883143,0.342180460691452,0.2756631970405578
0.41519618,2743.844153123797,2690.150336235324,5899.239264075048,0.1034038864806603,2.5077105,66.358475,-8.157901,23.252073,5.504012,6.0447464,5.4586654,4.460333,-0.53648424,5.7115,0.29781646,4.885816,1.0536011,9,A major,major,0.0500275277403457,-0.0795931319563547,-0.0198800435467878,-0.0001186619728061,0.0134460470550748,0.007656406581803,0.5517354607582092,0.2450892627239227
0.43185335,2704.6616634186607,2634.085768279668,5758.809732690401,0.1001024855103065,13.620296,74.88671,-14.535799,20.141712,1.468083,0.5722486,0.9817227,2.7331388,-0.08865677,4.4776473,-1.6125166,1.1535397,-2.5035236,4,E major,major,-0.0462217690529803,-0.2669721307604439,0.0882222187751167,-0.0192557431847383,0.0064779069437235,0.0028432353586477,0.3901331424713135,0.2880210280418396
